,question,answer,qtype
0,What does social restrictions limit?,social restrictions limit spread of infection.,1
1,What does alternative T cell responses against?,alternative T cell responses against Mtb infection.,1
2,What does SARS-CoV-2 cause?,SARS-CoV-2 cause COVID-19.,1
3,What does infections cause?,infections cause severe emerging diseases in humans.,1
4,What does infections associate?,infections associate high mortality rates.,1
5,What does HTNV epitope-specific CD8 + T-cell immunity control?,HTNV epitope-specific CD8 + T-cell immunity control HTNV.,1
6,What does analysis reveal?,analysis reveal coordinated immune responses.,1
7,What does booster vaccination improve?,booster vaccination improve T cell responses.,1
8,What does consensus IG sequence serve?,consensus IG sequence serve template switching site for the viral encoded polymerase.,1
9,What does Nsp13 essential?,Nsp13 essential viral replication.,1
10,What does ZBD and S domains important?,ZBD and S domains important structural stability of the enzyme.,1
11,What does A1 and A2 domains regulate?,A1 and A2 domains regulate ATP hydrolysis.,1
12,What does SARS-CoV-2 infection follow?,SARS-CoV-2 infection follow optic neuritis.,1
13,What does pain limit?,pain limit ocular motility.,1
14,What does vaccines reduce?,vaccines reduce spread and impact of the disease.,1
15,What does classifier categorize?,classifier categorize users.,1
16,What does classifier categorize?,classifier categorize vaccine-related stance.,1
17,What does Coronaviruses cause?,Coronaviruses cause respiratory and digestive tract diseases.,1
18,What does coronaviruses responsible?,coronaviruses responsible porcine diarrhea.,1
19,What does This method reduce?,This method reduce economic losses to the pig industry.,1
20,What does conflicts impact?,conflicts impact health.,1
21,What does Ethnic Health Organisations create?,Ethnic Health Organisations create health system.,1
22,What does Community-Based Health Organisations (EHO/CBHOs) create?,Community-Based Health Organisations (EHO/CBHOs) create health system.,1
23,What does observation methods increase?,observation methods increase validity of the data.,1
24,What does immunization preclude?,immunization preclude morbidity and mortality.,1
25,What does questionnaire identify?,questionnaire identify chronic pain patients on opioid therapy.,1
26,What does optimal implementation of parallel analysis (PA) evaluate?,optimal implementation of parallel analysis (PA) evaluate dimensionality of the COMM-SV items.,1
27,What does optimal implementation of parallel analysis (PA) evaluate?,optimal implementation of parallel analysis (PA) evaluate COMM-SV items.,1
28,What does multilevel logistic regression analyses test?,multilevel logistic regression analyses test effectiveness.,1
29,What does information and decision tool support?,information and decision tool support PNs.,1
30,What does video calls communicate?,video calls communicate healthcare providers.,1
31,What does video calls access?,video calls access telehealth.,1
32,What does PC responsible?,PC responsible microbiological assessments.,1
33,What does MS responsible?,MS responsible data collection.,1
34,What does AA responsible?,AA responsible statistical studies.,1
35,What does FC responsible?,FC responsible audiological studies.,1
36,What does LO responsible?,LO responsible ophthalmologic assessments.,1
37,What does DR responsible?,DR responsible ophthalmologic assessments.,1
38,What does AL responsible?,AL responsible maternal assessments.,1
39,What does FPV associate?,FPV associate faster viral clearance.,1
40,What does COVID-19 pandemic affect?,COVID-19 pandemic affect healthcare systems.,1
41,What does Coronavirus Disease 2019 pandemic affect?,Coronavirus Disease 2019 pandemic affect health care system.,1
42,What does COVID-19 pandemic affect?,COVID-19 pandemic affect trauma patient demographics.,1
43,What does COVID-19 pandemic affect?,COVID-19 pandemic affect mechanism of injury.,1
44,What does Disasters threat?,Disasters threat human health.,1
45,What does emerging adaptations dependent?,emerging adaptations dependent hospital's resilience.,1
46,What does Quercetin interfere?,Quercetin interfere SARS-CoV-2 replication.,1
